observed,track_id,object_type,object_category,timestep,position_x,position_y,heading,velocity_x,velocity_y,scenario_id,start_timestamp,end_timestamp,num_timestamps,focal_track_id,city
True,202664,vehicle,1,0,704.189390456808,301.02693868484045,-3.1278989164972186,-2.8957181656354334e-05,-3.3007717624703786e-05,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,1,704.1838926906821,301.01984401698337,-3.127989652406913,-6.124757135417654e-05,-6.978930105026576e-05,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,2,704.1777847624886,301.0094087099329,-3.1281364867577226,-8.6850641647571e-05,-0.00011750532736607554,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,3,704.1710799542454,300.99471678117766,-3.1283433714043296,-0.00017687898739273054,-0.00034376460808785214,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,4,704.1638739961932,300.9777316336196,-3.128587684213809,-0.0004998740927855802,-0.001076736677932076,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,5,704.1564657740693,300.95877490469,-3.1288978058556403,-0.0012042680028558478,-0.0030151109534992046,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,6,704.1489011978689,300.9384050840578,-3.129278045871861,-0.0025328445709972814,-0.007824641543168547,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,7,704.1409838203721,300.9176674031378,-3.129733522013217,-0.0030067868700045207,-0.010817355597447322,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,8,704.1335801466702,300.896798431498,-3.1302182706418344,-0.0024980581698893487,-0.011348666744423749,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
True,202664,vehicle,1,9,704.1268949328014,300.8764034666735,-3.130738174397723,-0.0023268203656757304,-0.013923148861845964,01844147-17ff-4335-8186-c10c2b989260,3.15990219709961e+17,3.15990230609961e+17,110,203227,miami
